,1,2,3,4,5,6,7,8,9,10,11,12
inuvik,2.1459227467811157,1.2875536480686696,0.8583690987124464,2.575107296137339,9.44206008583691,12.017167381974248,19.742489270386265,27.467811158798284,9.871244635193133,8.583690987124463,3.4334763948497855,2.575107296137339
sachs harbour,0.704225352112676,1.408450704225352,4.225352112676056,8.450704225352112,8.450704225352112,6.338028169014085,11.971830985915492,30.985915492957748,16.197183098591548,7.042253521126761,2.816901408450704,1.408450704225352
cambridge bay,0.0,0.0,1.6666666666666667,4.444444444444445,7.777777777777778,10.0,21.11111111111111,28.88888888888889,16.666666666666668,7.222222222222222,1.6666666666666667,0.5555555555555556
resolute bay,0.0,0.0,0.5649717514124294,1.694915254237288,2.824858757062147,9.03954802259887,24.293785310734464,36.72316384180791,16.384180790960453,6.214689265536723,1.694915254237288,0.5649717514124294
alert,1.639344262295082,0.0,0.0,3.278688524590164,6.0109289617486334,8.19672131147541,27.3224043715847,20.218579234972676,22.404371584699454,6.557377049180328,2.185792349726776,2.185792349726776
eureka,0.9523809523809523,1.9047619047619047,1.9047619047619047,1.9047619047619047,3.8095238095238093,11.428571428571429,21.904761904761905,24.761904761904763,17.142857142857142,8.571428571428571,4.761904761904762,0.9523809523809523
hall beach,0.4975124378109453,1.492537313432836,3.482587064676617,2.487562189054726,4.477611940298507,7.960199004975125,20.398009950248756,29.850746268656717,16.915422885572138,7.462686567164179,3.482587064676617,1.492537313432836
clyde river,1.0869565217391304,1.0869565217391304,1.6304347826086956,4.3478260869565215,6.521739130434782,8.152173913043478,12.5,20.652173913043477,18.47826086956522,13.043478260869565,8.152173913043478,4.3478260869565215
cape dyer,9.821428571428571,7.142857142857143,2.232142857142857,4.910714285714286,4.910714285714286,4.017857142857143,4.464285714285714,9.821428571428571,12.946428571428571,19.642857142857142,10.267857142857142,9.821428571428571
pond inlet,1.941747572815534,0.0,0.970873786407767,1.941747572815534,5.825242718446602,7.766990291262136,25.24271844660194,21.359223300970875,14.563106796116505,11.650485436893204,5.825242718446602,2.912621359223301
